"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_ecto","copies_ericoid","copies_saprotrophs","copies_molds_yeasts","copies_otherrootfungi","copies_archies","copies_sap_whiterot","copies_ecto_whiterot","copies_sap_other","copies_moulds_yeasts","copies_other_root","copies_ericoid_ecto","copies_whiterot","copies_cortinarius"
"1","S3","C2Humus17A",3,"C",1,1,2,"Humus","6/16/17","11/21/18","green","A",17,2.7677,3.0316,0.2639,2.4204,2.1565,0.6112,22.08,77.92,"91",657006367,17,38243,1,2,"nothing","Jadraas_org_bags2 gITS7_tag_1_ITS4_tag_1",654192829.833333,152253942.5,16569557.3333333,13464369.5,422203331.833333,31756983,20018561,1035743,0,12428626.5,422203331.833333,31756983,13805347.3333333,1035743,0
"2","S4","C3Humus17B",4,"C",1,1,3,"Humus","6/14/18","11/20/19","green","B",17,2.7402,2.9893,0.2491,2.37,2.1209,0.6193,22.6,77.4,"165",5710865557,119,47994,1,3,"nothing","Jadraas_org_bags3 gITS7_tag_1_ITS4_tag_1",5683101917.83333,0,0,4864295555.16667,596757536.5,13876328.1666667,0,1568232826,0,3296062729.16667,596757536.5,13876328.1666667,34695417,1568232826,0
"3","S5","C1Humus5A",5,"C",1,1,1,"Humus","6/16/17","11/21/17","blue","A",5,2.901,3.285,0.384,2.63,2.246,0.655,22.58,77.42,"2",72908406,14,5398,4,1,"nothing","Jadraas_org_bags1 gITS7_tag_4_ITS4_tag_4",72567026.3333333,225225,1472404.16666667,2509645,66914883.8333333,321457.5,0,0,32175,2509645,66914883.8333333,321457.5,321749,32175,0
"4","S7","DC2Humus17A",7,"DC",1,0,2,"Humus","6/16/17","11/21/18","green","A",17,3.2089,3.4472,0.2383,3.0676,2.8293,0.3796,11.83,88.17,"92",1295028441,23,55686,4,2,"nothing","Jadraas_org_bags2 gITS7_tag_4_ITS4_tag_4",1177030261,319981517,86838350.1666667,31145977,284111544.166667,348297881.166667,344522872,2831695,19821864,28314282,284111544.166667,348297881.166667,88726438,22653559,19821864
"5","S8","DC1Humus17B",8,"DC",1,0,1,"Humus","6/14/18","11/20/19","green","B",17,2.7885,3.043,0.2545,2.2,1.9455,0.843,30.23,69.77,"166",2339573661,85,27453,4,3,"nothing","Jadraas_org_bags3 gITS7_tag_4_ITS4_tag_4",2339570656.83333,0,0,2173881474.66667,13252661.6666667,16569219,0,1063743831.66667,0,1110137643,13252661.6666667,16569219,0,1063743831.66667,0
"6","S9","DC1Humus5A",9,"DC",1,0,1,"Humus","6/16/17","11/21/17","blue","A",5,2.517,2.853,0.336,2.4121,2.0761,0.4409,17.52,82.48,"3",15564534,13,1175,5,1,"nothing","Jadraas_org_bags1 gITS7_tag_5_ITS4_tag_5",14889576.8333333,222785,353534.666666667,495621.166666667,12931336.5,637975,415190,444986.166666667,10127,50635,12931336.5,637975,202532,455113.166666667,10127
"7","S10","E2Humus17A",10,"E",0,1,2,"Humus","6/16/17","11/21/18","green","A",17,2.6815,2.9244,0.2429,2.5311,2.2882,0.3933,14.67,85.33,"93",480435498,51,9373,5,2,"nothing","Jadraas_org_bags2 gITS7_tag_5_ITS4_tag_5",475966763.166667,6647070,6645232.16666667,7016352,433872906.666667,8860341.33333333,4431381,0,6647070,7016352,433872906.666667,8860341.33333333,10339888,6647070,5908507
"8","S11","C6Humus17B",11,"C",1,1,6,"Humus","6/14/18","11/20/19","green","B",17,2.8064,3.0456,0.2392,2.32,2.0808,0.7256,25.86,74.14,"167",3758818421,95,39398,5,3,"nothing","Jadraas_org_bags3 gITS7_tag_5_ITS4_tag_5",3736676291.83333,1084269031.5,42166232,38148069.3333333,2309061138.33333,72280107.1666667,24094990,0,2007916,38148069.3333333,2309061138.33333,72280107.1666667,158625350,2007916,0
"9","S12","E1Humus5A",12,"E",0,1,1,"Humus","6/16/17","11/21/17","blue","A",5,2.885,3.215,0.33,2.9813,2.6513,0.2337,8.1,91.9,"4",46573111,10,4524,6,1,"nothing","Jadraas_org_bags1 gITS7_tag_6_ITS4_tag_6",46301862.1666667,0,612419.666666667,349954,43823310,728780.5,145814,145814,0,204140,43823310,728780.5,699909,145814,0
"10","S13","T2Humus17A",13,"T",1,0,2,"Humus","6/16/17","11/21/18","green","A",17,2.8476,3.1148,0.2672,2.7648,2.4976,0.35,12.29,87.71,"94",1327208044,56,23655,6,2,"nothing","Jadraas_org_bags2 gITS7_tag_6_ITS4_tag_6",1308392982,0,7040892,4692090.16666667,1252072480.5,11734527.5,0,1173482,0,3518608.16666667,1252072480.5,11734527.5,15250762.8333333,1173482,0
"11","S14","T5Humus17B",14,"T",1,0,5,"Humus","6/14/18","11/20/19","green","B",17,2.9444,3.2006,0.2562,2.47,2.2138,0.7306,24.81,75.19,"168",1318937173,128,10299,6,3,"nothing","Jadraas_org_bags3 gITS7_tag_6_ITS4_tag_6",1289492887,0,45623731.3333333,21609999.8333333,1095592319.66667,15606885.8333333,0,600336,0,21009663.8333333,1095592319.66667,15606885.8333333,80444961.6666667,600336,0
"12","S15","T1Humus5A",15,"T",1,0,1,"Humus","6/16/17","11/21/17","blue","A",5,2.749,3.061,0.312,2.8844,2.5724,0.1766,6.42,93.58,"5",1004764567,32,31103,7,1,"nothing","Jadraas_org_bags1 gITS7_tag_7_ITS4_tag_7",1000925771.33333,0,1915661,3352406,950163658,5746985,0,478915,0,2873491,950163658,5746985,26819264,478915,0
"13","S16","TE2Humus17A",16,"TE",0,0,2,"Humus","6/16/17","11/21/18","green","A",17,2.9237,3.1957,0.272,3.0022,2.7302,0.1935,6.62,93.38,"95",525752425,51,10240,7,2,"nothing","Jadraas_org_bags2 gITS7_tag_7_ITS4_tag_7",525735232.333333,318252,2864268,3500772,495191845.166667,6364458.16666667,0,318252,0,3182520,495191845.166667,6364458.16666667,12093578,318252,0
"14","S17","E4Humus17B",17,"E",0,1,4,"Humus","6/14/18","11/20/19","green","B",17,2.6634,2.9015,0.2381,2.12,1.8819,0.7815,29.34,70.66,"169",4822895892,105,45999,7,3,"nothing","Jadraas_org_bags3 gITS7_tag_7_ITS4_tag_7",4714189467.66667,2274460696.66667,70849133,106276529.666667,1920142683.33333,85022600.8333333,30704039,18894793,153520192,87381736.6666667,1920142683.33333,85022600.8333333,198393487.166667,172414985,0
"15","S18","TE1Humus5A",18,"TE",0,0,1,"Humus","6/16/17","11/21/17","blue","A",5,2.887,3.189,0.302,2.9958,2.6938,0.1932,6.69,93.31,"6",831894784,30,27500,8,1,"nothing","Jadraas_org_bags1 gITS7_tag_8_ITS4_tag_8",831891993.666667,0,418038,150075491,650048144.166667,14213278,418038,138788476,0,11287015,650048144.166667,14213278,13792741.5,138788476,0
"16","S19","C3Humus17A",19,"C",1,1,3,"Humus","6/16/17","11/21/18","green","A",17,2.7402,2.9893,0.2491,2.9555,2.7064,0.0338,1.23,98.77,"96",1041203486,28,37717,8,2,"nothing","Jadraas_org_bags2 gITS7_tag_8_ITS4_tag_8",1015532037,637901.5,16038255,1283059.66666667,964854781.833333,17321315,1283060,0,0,1283059.66666667,964854781.833333,17321315,12189074,0,0
"17","S20","C4Humus17B",20,"C",1,1,4,"Humus","6/14/18","11/20/19","green","B",17,2.8285,3.0933,0.2648,2.54,2.2752,0.5533,19.56,80.44,"170",7058494721,116,60874,8,3,"nothing","Jadraas_org_bags3 gITS7_tag_8_ITS4_tag_8",5738030793.66667,562728775.166667,651341212.166667,212685340,3553588150.66667,212685341,159514005,124066448,8861889,88618892,3553588150.66667,212685341,505127682,132928337,8861889
"18","S21","C2Humus5A",21,"C",1,1,2,"Humus","6/16/17","11/21/17","blue","A",5,2.733,3.057,0.324,2.463,2.139,0.594,21.73,78.27,"7",219517897,22,10165,9,1,"nothing","Jadraas_org_bags1 gITS7_tag_9_ITS4_tag_9",212678338.833333,1743463,6656568.16666667,2375993.66666667,193501989,1901960,475490,158497,0,2217496.66666667,193501989,1901960,4754901,158497,0
"19","S22","DC3Humus17A",22,"DC",1,0,3,"Humus","6/16/17","11/21/18","green","A",17,2.5877,2.8515,0.2638,2.6554,2.3916,0.1961,7.58,92.42,"97",424581297,52,8207,9,2,"nothing","Jadraas_org_bags2 gITS7_tag_9_ITS4_tag_9",423779391.666667,3983945.83333333,5581351,26312079.6666667,371558469,3189344,797336,0,797336,26312079.6666667,371558469,3189344,7973357,797336,797336
"20","S23","TE6Humus17B",23,"TE",0,0,6,"Humus","6/14/18","11/20/19","green","B",17,2.5503,2.8119,0.2616,2.19,1.9284,0.6219,24.39,75.61,"171",1662726254,160,10398,9,3,"nothing","Jadraas_org_bags3 gITS7_tag_9_ITS4_tag_9",1654356106.16667,0,20906030,62717506.1666667,1379792601.5,48778965.5,0,16724824,0,45992682.1666667,1379792601.5,48778965.5,101742680,16724824,0
