"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_asco","copies_basid","copies_ecto","copies_whiterot","copies_sap_whiterot","copies_sap_other","copies_mycena_clavicularis"
"1","S2","C4Litter5A",2,"C",1,1,4,"Litter","6/16/17","11/21/17","blue","A",5,1.443,1.61,0.167,1.2428,1.0758,0.3672,25.45,74.55,"60",175030719,16,11247,1,4,"usethisindownstreamanalysis","Jadraas_org_bags4 gITS7_tag_1_ITS4_tag_1",172461864.333333,166430173.333333,3797731,0,0,0,111698,0
"2","S6","DC4Litter5A",6,"DC",1,0,4,"Litter","6/16/17","11/21/17","blue","A",5,1.795,1.997,0.202,1.5696,1.3676,0.4274,23.81,76.19,"61",74599717,25,3028,4,4,"usethisindownstreamanalysis","Jadraas_org_bags4 gITS7_tag_4_ITS4_tag_4",74176461,59150699,1428506,0,0,0,899429,0
"3","S24","T7Litter17B",24,"T",1,0,7,"Litter","6/14/18","11/20/19","green","B",17,1.7357,1.9425,0.2068,0.57,0.3632,1.3725,79.07,20.93,"247",6651779841,163,40784,9,4,"nothing","Jadraas_org_bags4 gITS7_tag_9_ITS4_tag_9",6633669472.5,5886745411.33333,539002418,0,0,281751264,4491544071.5,171500769
"4","S28","DC2Litter17B",28,"DC",1,0,2,"Litter","6/14/18","11/20/19","green","B",17,1.7969,2.0039,0.207,1.06,0.853,0.9439,52.53,47.47,"248",9347943978,137,68222,10,4,"nothing","Jadraas_org_bags4 gITS7_tag_10_ITS4_tag_10",9236440468.33333,8827538907.33333,238525910,0,0,68150260,5954203460.66667,68150260
"5","S32","T5Litter17B",32,"T",1,0,5,"Litter","6/14/18","11/20/19","green","B",17,1.5277,1.7755,0.2478,0.76,0.5122,1.0155,66.47,33.53,"249",6393056633,102,62432,11,4,"nothing","Jadraas_org_bags4 gITS7_tag_11_ITS4_tag_11",6376764707.16667,6120325962.16667,178664334,0,0,54442088,5117521142,54442088
"6","S36","TE4Litter17B",36,"TE",0,0,4,"Litter","6/14/18","11/20/19","green","B",17,1.5772,1.7971,0.2199,0.82,0.6001,0.9771,61.95,38.05,"250",27322468215,124,220389,12,4,"nothing","Jadraas_org_bags4 gITS7_tag_12_ITS4_tag_12",27271051263.5,9530473725.66667,17368557862,0,0,17300844186,6689046295.5,17131559996
"7","S40","E5Litter17B",40,"E",0,1,5,"Litter","6/14/18","11/20/19","green","B",17,1.4018,1.5894,0.1876,0.88,0.6924,0.7094,50.61,49.39,"251",8396782365,84,100409,13,4,"nothing","Jadraas_org_bags4 gITS7_tag_13_ITS4_tag_13",8395751412.33333,4703889682.16667,3655069970,0,0,3383409365,2110807652.5,3346364737
"8","S44","T6Litter17B",44,"T",1,0,6,"Litter","6/14/18","11/20/19","green","B",17,1.7271,1.941,0.2139,0.8,0.5861,1.141,66.06,33.94,"252",8502985643,184,46241,14,4,"nothing","Jadraas_org_bags4 gITS7_tag_14_ITS4_tag_14",8417030134.33333,7778643495,548277928.333333,0,0,0,4218698060.83333,0
"9","S48","E6Litter17B",48,"E",0,1,6,"Litter","6/14/18","11/20/19","green","B",17,1.4301,1.6121,0.182,0.68,0.498,0.9321,65.18,34.82,"253",8939804317,80,111599,15,4,"nothing","Jadraas_org_bags4 gITS7_tag_15_ITS4_tag_15",8939244126.83333,4944664449,3866148194,0,0,3789080916,2748718955.83333,2915712040
"10","S52","TE7Litter17B",52,"TE",0,0,7,"Litter","6/14/18","11/20/19","green","B",17,1.467,1.6651,0.1981,0.93,0.7319,0.7351,50.11,49.89,"254",6583099647,95,69382,16,4,"brokenseal","Jadraas_org_bags4 gITS7_tag_16_ITS4_tag_16",6562254212.66667,6088754318.33333,388921374,0,0,139324860,3158885237.66667,0
"11","S56","DC6Litter17B",56,"DC",1,0,6,"Litter","6/14/18","11/20/19","green","B",17,1.6836,1.8926,0.209,0.7,0.491,1.1926,70.84,29.16,"255",6031676674,86,70183,17,4,"nothing","Jadraas_org_bags4 gITS7_tag_17_ITS4_tag_17",5991190280.16667,3911230900.16667,2024834410.33333,0,0,1960710324,2691811073.33333,1035742459
"12","S60","C2Litter17B",60,"C",1,1,2,"Litter","6/14/18","11/20/19","green","B",17,2.0838,2.3308,0.247,1.1,0.853,1.2308,59.07,40.93,"256",12542219430,117,107358,18,4,"nothing","Jadraas_org_bags4 gITS7_tag_18_ITS4_tag_18",12487292870.8333,10890778176.8333,1507109871,0,0,1021769404,9971748317.16667,1021769404
"13","S64","DC3Litter17B",64,"DC",1,0,3,"Litter","6/14/18","11/20/19","green","B",17,1.7443,1.9511,0.2068,0.78,0.5732,1.1711,67.14,32.86,"257",647232577,19,34879,20,4,"nothing","Jadraas_org_bags4 gITS7_tag_20_ITS4_tag_20",633993851.833333,463184468.666667,158487718,0,0,65712478,257101805,65005892
"14","S68","TE6Litter17B",68,"TE",0,0,6,"Litter","6/14/18","11/20/19","green","B",17,1.5188,1.7198,0.201,0.66,0.459,1.0598,69.78,30.22,"258",10203412688,94,108589,21,4,"nothing","Jadraas_org_bags4 gITS7_tag_21_ITS4_tag_21",10187121023,4938941332.5,5171029277.33333,0,0,4965215575.83333,3254327413.83333,4670666842
"15","S72","T4Litter17B",72,"T",1,0,4,"Litter","6/14/18","11/20/19","green","B",17,1.621,1.8234,0.2024,0.74,0.5376,1.0834,66.84,33.16,"259",14802742381,187,79099,22,4,"nothing","Jadraas_org_bags4 gITS7_tag_22_ITS4_tag_22",14752699663.6667,12412401888.6667,2081859984,0,0,1234758336,8409487205.66667,1234758336
"16","S76","C1Litter17B",76,"C",1,1,1,"Litter","6/14/18","11/20/19","green","B",17,1.7555,1.969,0.2135,0.72,0.5065,1.249,71.15,28.85,"260",8546353001,169,50629,23,4,"nothing","Jadraas_org_bags4 gITS7_tag_23_ITS4_tag_23",8537636074.83333,4500387169.16667,3898405455.5,0,0,3219343927.83333,1899177982.33333,0
