scata	Taxon	Sci_Name	Rank	mock	Kingdom	Phylum	Subphylum	Class	Order	Family	Genus	Species	abbrev	taxon_notes	guild	emf	primary_lifestyle_phylum	Decay_type	Decay_Lifestyle	guild_notes	reference
scata4703_0	Penicillium_spinulosum	Penicillium_spinulosum	1	FALSE	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	spinulosum	(coll.)		moulds and yeasts	0	moulds and yeasts	other	mold_unspecified_saprotroph_ascomycetes		SH1529988.08FU_429_Penicillium spinulosum_99.6
scata4703_6	Trichoderma_viride	Trichoderma_viride	2	FALSE	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	viride	(coll.)		moulds and yeasts	0	moulds and yeasts	other	soft_rot_mycoparasite_ascomycetes		SH1567966.08FU_465.1_Trichoderma viride_100
scata4703_3	Mycena_clavicularis	Mycena_clavicularis	3	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Mycenaceae	Mycena	clavicularis			saprotrophs white rot	0	litter saprotrophic basidiomycota	white rot	white_rot_litter_basidiomycetes		SH1542297.08FU_518.3_Mycena clavicularis_99.34
scata4703_5	Sistotrema_octosporum	Sistotrema_octosporum	4	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	octosporum			saprotrophs other	0	litter saprotrophic basidiomycota	other	litter_basidiomycetes	Lindahl et al 2007 litter and moss	SH1519583.08FU_525.2_Sistotrema_100_octosproum
scata4703_1	Venturiaceae_sp	Venturiaceae_sp	5	FALSE	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Venturiales	Venturiaceae	Venturiaceae			genbank H6033494	saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes		SH1626891.08FU_420.5_Venturiaceae_100
scata4703_2	Mucor_hiemalis	Mucor_hiemalis	6	FALSE	Fungi	Zygomycota	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Mucor	hiemalis/silvaticus			moulds and yeasts	0	moulds and yeasts	other	mold_soil_saprotroph_zygomycetes		SH1506671.08FU_475.4_Mucor_silvaticus
scata4703_8	Mucor_abundans	Mucor_abundans	7	FALSE	Fungi	Zygomycota	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Mucor	abundans			moulds and yeasts	0	moulds and yeasts	other	mold_soil_saprotroph_zygomycetes		SH1506670.08FU_466_Mucor_abundans
scata4703_4	Sistotrema_sp	Sistotrema_sp1	8	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema				saprotrophs other	0	litter saprotrophic basidiomycota	other	litter_basidiomycetes	Lygis et al 2014 found in charred wood	SH1512589.08FU_269.4_Sistotrema sernanderi_82.28
scata4703_14	Trichoderma_parapiluliferum	Trichoderma_parapiluliferum	9	FALSE	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	parapiluliferum	(coll.)		moulds and yeasts	0	moulds and yeasts	other	soft_rot_mycoparasite_ascomycetes		SH1567968.08FU_444.5_Trichoderma parapiluliferum_100
scata4703_10	Desmazierella_acicola	Desmazierella_acicola	10	FALSE	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Chorioactidaceae	Desmazierella	acicola			saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes		SH1543245.08FU_463.4_Desmazierella acicola_100
scata4703_9	Piloderma_sphaerosporum	Piloderma_sphaerosporum	11	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	sphaerosporum			ectomycorrhizas other	1	ectomycorrhizal basidiomycota	other	ectomycorrhizal_basidiomycetes		SH1544806.08FU_502.9_Piloderma sphaerosporum_100
scata4703_12	Calycellina_sp	Calycellina_sp	12	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Pezizellaceae	Calycellina			Johnson et al 2019	saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Lindahl et al 2007 litter	SH1523896.08FU_362.1_Calycellina populina_95.47
scata4703_13	Calycellina_aff._populina	Calycellina_aff_populina	13	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetes order incertae sedis	Pezizellaceae	Calycellina	populina	(aff.)	Johnson et al 2019	saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Lindahl et al 2007 litter	SH1523896.08FU_381_Calycellina populina_97.11
scata4703_19	Mytilinidion_sp	Mytilinidion_sp	14	FALSE	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Mytilinideaceae	Mytilinidion				saprotrophs other	0	litter saprotrophic ascomycota	other	soft_rot_litter_ascomycetes	Lindahl et al 2007 moss litter	SH1544328.08FU_442.8_Mytilinidion_100
scata4703_18	Rhytismataceae_sp	Rhytismataceae_sp	15	FALSE	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Rhytismatales	Rhytismataceae	Rhytismataceae				saprotrophs other	0	litter saprotrophic ascomycota	other	litter_ascomycetes	Lindahl et al 2007 pine needle litter	SH1505294.08FU_372.4_Rhytismataceae_96.30
